sample	carton	date_purchased	date_expiration	assay	average_cycle_threshold	isolate_average_copies_per_uL	dairyproduct_average_copies_per_mL	primer_asset_file	probe_asset_file	RNA_extraction_method	positive_for_HPAI	processing_plant_state	SRA_bioproject	SRA_accession	contributors	date_contributed
dholab_30190_18	dholab_carton_0041	2024-05-10		qPCR	35.905			DHO_CN_H5specific01_primers.fasta	DHO_CN_H5specific01_probe.fasta	400ul sample added to MagMax wastewater ultra x96 isolation on Kingfisher Apex	TRUE	MI			dholab	2024-05-23
dholab_30190_19	dholab_carton_0042	2024-05-10		qPCR	NA			DHO_CN_H5specific01_primers.fasta	DHO_CN_H5specific01_probe.fasta	400ul sample added to MagMax wastewater ultra x96 isolation on Kingfisher Apex	FALSE	MI			dholab	2024-05-23
dholab_30190_20	dholab_carton_0024	2024-05-02	2024-07-11	qPCR	28.03			DHO_CN_H5specific01_primers.fasta	DHO_CN_H5specific01_probe.fasta	400ul sample added to MagMax wastewater ultra x96 isolation on Kingfisher Apex	TRUE	MI			dholab	2024-05-23
dholab_30260_01	dholab_carton_0043	2024-06-05	2024-06-23	qPCR				DHO_CN_H5specific01_primers.fasta	DHO_CN_H5specific01_probe.fasta	400ul sample added to MagMax wastewater ultra x96 isolation on Kingfisher Apex	FALSE	MN			dholab	2024-06-14
dholab_30260_02	dholab_carton_0044	2024-06-05	2024-06-13	qPCR				DHO_CN_H5specific01_primers.fasta	DHO_CN_H5specific01_probe.fasta	400ul sample added to MagMax wastewater ultra x96 isolation on Kingfisher Apex	FALSE	WI			dholab	2024-06-14
dholab_30260_03	dholab_carton_0045	2024-06-05	2024-06-11	qPCR				DHO_CN_H5specific01_primers.fasta	DHO_CN_H5specific01_probe.fasta	400ul sample added to MagMax wastewater ultra x96 isolation on Kingfisher Apex	FALSE	IN			dholab	2024-06-14
dholab_30260_04	dholab_carton_0046	2024-06-05	2024-08-16	qPCR	31.71			DHO_CN_H5specific01_primers.fasta	DHO_CN_H5specific01_probe.fasta	400ul sample added to MagMax wastewater ultra x96 isolation on Kingfisher Apex	TRUE	CO			dholab	2024-06-14
dholab_30260_05	dholab_carton_0047	2024-06-05	2024-06-06	qPCR				DHO_CN_H5specific01_primers.fasta	DHO_CN_H5specific01_probe.fasta	400ul sample added to MagMax wastewater ultra x96 isolation on Kingfisher Apex	FALSE	MI			dholab	2024-06-14
dholab_30260_06	dholab_carton_0048	2024-06-05	2024-08-22	qPCR	33.535			DHO_CN_H5specific01_primers.fasta	DHO_CN_H5specific01_probe.fasta	400ul sample added to MagMax wastewater ultra x96 isolation on Kingfisher Apex	TRUE	MI			dholab	2024-06-14
dholab_30260_07	dholab_carton_0049	2024-06-05	2024-06-13	qPCR				DHO_CN_H5specific01_primers.fasta	DHO_CN_H5specific01_probe.fasta	400ul sample added to MagMax wastewater ultra x96 isolation on Kingfisher Apex	FALSE	IA			dholab	2024-06-14
dholab_30260_08	dholab_carton_0050	2024-06-05	2024-06-01	qPCR				DHO_CN_H5specific01_primers.fasta	DHO_CN_H5specific01_probe.fasta	400ul sample added to MagMax wastewater ultra x96 isolation on Kingfisher Apex	FALSE	IL			dholab	2024-06-14
dholab_30260_09	dholab_carton_0051	2024-06-05	2024-06-10	qPCR				DHO_CN_H5specific01_primers.fasta	DHO_CN_H5specific01_probe.fasta	400ul sample added to MagMax wastewater ultra x96 isolation on Kingfisher Apex	FALSE	IL			dholab	2024-06-14
dholab_30260_10	dholab_carton_0052	2024-06-05	2024-06-18	qPCR				DHO_CN_H5specific01_primers.fasta	DHO_CN_H5specific01_probe.fasta	400ul sample added to MagMax wastewater ultra x96 isolation on Kingfisher Apex	FALSE	WI			dholab	2024-06-14
dholab_30260_11	dholab_carton_0053	2024-06-05	2024-06-28	qPCR				DHO_CN_H5specific01_primers.fasta	DHO_CN_H5specific01_probe.fasta	400ul sample added to MagMax wastewater ultra x96 isolation on Kingfisher Apex	FALSE	IN			dholab	2024-06-14
dholab_30260_12	dholab_carton_0054	2024-06-05	2024-06-22	qPCR				DHO_CN_H5specific01_primers.fasta	DHO_CN_H5specific01_probe.fasta	400ul sample added to MagMax wastewater ultra x96 isolation on Kingfisher Apex	FALSE	TX			dholab	2024-06-14
dholab_30260_13	dholab_carton_0055	2024-06-05	2024-06-20	qPCR				DHO_CN_H5specific01_primers.fasta	DHO_CN_H5specific01_probe.fasta	400ul sample added to MagMax wastewater ultra x96 isolation on Kingfisher Apex	FALSE	WI			dholab	2024-06-14
dholab_30260_14	dholab_carton_0056	2024-06-05	2024-06-18	qPCR				DHO_CN_H5specific01_primers.fasta	DHO_CN_H5specific01_probe.fasta	400ul sample added to MagMax wastewater ultra x96 isolation on Kingfisher Apex	FALSE	WI			dholab	2024-06-14
dholab_30303_01	dholab_carton_0057	2024-06-17	2024-07-31	qPCR				DHO_CN_H5specific01_primers.fasta	DHO_CN_H5specific01_probe.fasta	400ul sample added to MagMax wastewater ultra x96 isolation on Kingfisher Apex	FALSE	MN			dholab	2024-06-18
dholab_30303_02	dholab_carton_0058	2024-06-17	2024-07-08	qPCR				DHO_CN_H5specific01_primers.fasta	DHO_CN_H5specific01_probe.fasta	400ul sample added to MagMax wastewater ultra x96 isolation on Kingfisher Apex	FALSE	IN			dholab	2024-06-18
dholab_30303_03	dholab_carton_0059	2024-06-17	2024-06-25	qPCR				DHO_CN_H5specific01_primers.fasta	DHO_CN_H5specific01_probe.fasta	400ul sample added to MagMax wastewater ultra x96 isolation on Kingfisher Apex	FALSE	WI			dholab	2024-06-18
dholab_30303_04	dholab_carton_0060	2024-06-17	2024-07-03	qPCR				DHO_CN_H5specific01_primers.fasta	DHO_CN_H5specific01_probe.fasta	400ul sample added to MagMax wastewater ultra x96 isolation on Kingfisher Apex	FALSE	WI			dholab	2024-06-18
dholab_30303_05	dholab_carton_0061	2024-06-17	2024-06-18	qPCR				DHO_CN_H5specific01_primers.fasta	DHO_CN_H5specific01_probe.fasta	400ul sample added to MagMax wastewater ultra x96 isolation on Kingfisher Apex	FALSE	WI			dholab	2024-06-18
dholab_30303_06	dholab_carton_0062	2024-06-17	2024-07-03	qPCR				DHO_CN_H5specific01_primers.fasta	DHO_CN_H5specific01_probe.fasta	400ul sample added to MagMax wastewater ultra x96 isolation on Kingfisher Apex	FALSE	WI			dholab	2024-06-18
dholab_30303_07	dholab_carton_0063	2024-06-17	2024-08-29	qPCR	33			DHO_CN_H5specific01_primers.fasta	DHO_CN_H5specific01_probe.fasta	400ul sample added to MagMax wastewater ultra x96 isolation on Kingfisher Apex	TRUE	MI			dholab	2024-06-18
dholab_30303_08	dholab_carton_0064	2024-06-17	2024-07-15	qPCR				DHO_CN_H5specific01_primers.fasta	DHO_CN_H5specific01_probe.fasta	400ul sample added to MagMax wastewater ultra x96 isolation on Kingfisher Apex	FALSE	IL			dholab	2024-06-18
dholab_30303_09	dholab_carton_0065	2024-06-17	2024-08-23	qPCR	29.89			DHO_CN_H5specific01_primers.fasta	DHO_CN_H5specific01_probe.fasta	400ul sample added to MagMax wastewater ultra x96 isolation on Kingfisher Apex	TRUE	CO			dholab	2024-06-18
dholab_30303_10	dholab_carton_0066	2024-06-17	2024-07-01	qPCR				DHO_CN_H5specific01_primers.fasta	DHO_CN_H5specific01_probe.fasta	400ul sample added to MagMax wastewater ultra x96 isolation on Kingfisher Apex	FALSE	IA			dholab	2024-06-18
dholab_30303_11	dholab_carton_0067	2024-06-17	2024-07-22	qPCR				DHO_CN_H5specific01_primers.fasta	DHO_CN_H5specific01_probe.fasta	400ul sample added to MagMax wastewater ultra x96 isolation on Kingfisher Apex	FALSE	KY			dholab	2024-06-18
dholab_30440_01	dholab_carton_0068	2024-07-02	2024-08-02	qPCR	29.84			DHO_CN_H5specific01_primers.fasta	DHO_CN_H5specific01_probe.fasta	400ul sample added to MagMax wastewater ultra x96 isolation on Kingfisher Apex	TRUE	MI			dholab	2024-08-30
dholab_30440_02	dholab_carton_0069	2024-07-02	2024-08-06	qPCR	32.575			DHO_CN_H5specific01_primers.fasta	DHO_CN_H5specific01_probe.fasta	400ul sample added to MagMax wastewater ultra x96 isolation on Kingfisher Apex	TRUE	NY			dholab	2024-08-30
dholab_30440_03	dholab_carton_0070	2024-07-02	2024-08-13	qPCR				DHO_CN_H5specific01_primers.fasta	DHO_CN_H5specific01_probe.fasta	400ul sample added to MagMax wastewater ultra x96 isolation on Kingfisher Apex	FALSE	KS			dholab	2024-08-30
dholab_30440_04	dholab_carton_0071	2024-07-02	2024-08-13	qPCR				DHO_CN_H5specific01_primers.fasta	DHO_CN_H5specific01_probe.fasta	400ul sample added to MagMax wastewater ultra x96 isolation on Kingfisher Apex	FALSE	IN			dholab	2024-08-30
dholab_30440_05	dholab_carton_0072	2024-07-02	2024-02-29	qPCR				DHO_CN_H5specific01_primers.fasta	DHO_CN_H5specific01_probe.fasta	400ul sample added to MagMax wastewater ultra x96 isolation on Kingfisher Apex	FALSE	VA			dholab	2024-08-30
dholab_30440_06	dholab_carton_0073	2024-07-02	2024-08-11	qPCR				DHO_CN_H5specific01_primers.fasta	DHO_CN_H5specific01_probe.fasta	400ul sample added to MagMax wastewater ultra x96 isolation on Kingfisher Apex	FALSE	MN			dholab	2024-08-30
dholab_30440_07	dholab_carton_0074	2024-07-02	2024-08-04	qPCR				DHO_CN_H5specific01_primers.fasta	DHO_CN_H5specific01_probe.fasta	400ul sample added to MagMax wastewater ultra x96 isolation on Kingfisher Apex	FALSE	NY			dholab	2024-08-30
dholab_30440_08	dholab_carton_0075	2024-07-02	2024-08-06	qPCR				DHO_CN_H5specific01_primers.fasta	DHO_CN_H5specific01_probe.fasta	400ul sample added to MagMax wastewater ultra x96 isolation on Kingfisher Apex	FALSE	MN			dholab	2024-08-30
dholab_30440_09	dholab_carton_0076	2024-07-02	2024-11-18	qPCR	29.71			DHO_CN_H5specific01_primers.fasta	DHO_CN_H5specific01_probe.fasta	400ul sample added to MagMax wastewater ultra x96 isolation on Kingfisher Apex	TRUE	MO			dholab	2024-08-30
